"","nombre.común","nombre.inglés","nombre.cientifico","registro_último_año","conteo_max_último_año","checklist.x","conteo_max_h","año_max_h","checklist.y","prom_conteos_5_años","cod_rep","clasificación.RCE","clasificación.IUCN","Chile.total"
"1","Perdiz chilena","Chilean Tinamou","Nothoprocta perdicaria",FALSE,0,NA,1,2019,"S61531076",0,0,"LC","LC","X(e)"
"2","Cisne de cuello negro","Black-necked Swan","Cygnus melancoryphus",FALSE,0,NA,24,2016,"S33022091",3,0,"LC","LC","X"
"3","Canquén común","Ashy-headed Goose","Chloephaga poliocephala",FALSE,0,NA,9,2021,"S83646542,S84759005",4,0,"NT","LC","X"
"4","Quetru volador","Flying Steamer-Duck","Tachyeres patachonicus",FALSE,0,NA,12,2023,"S125167443,S125167444",9,0,"LC","LC","X"
"5","Quetru no volador","Flightless Steamer-Duck","Tachyeres pteneres",TRUE,2,"S272445083",2,2025,"S272445083",2,0,"NT","LC","X"
"6","Pato colorado","Cinnamon Teal","Spatula cyanoptera",TRUE,1,"S218289707",7,2021,"S91701519",3,0,"","LC","X"
"7","Pato real","Chiloe Wigeon","Mareca sibilatrix",TRUE,4,"S218289707",45,2021,"S83646542,S84759005",7,0,"","LC","X"
"8","Pato jergón grande","Yellow-billed Pintail","Anas georgica",TRUE,16,"S218289707",24,2022,"S101025656",8,0,"","LC","X"
"9","Pato jergón chico","Yellow-billed Teal","Anas flavirostris",TRUE,8,"S208378467",12,2016,"S27401445",6,0,"","LC","X"
"10","Torcaza","Chilean Pigeon","Patagioenas araucana",TRUE,0,"S210617350",13,2019,"S61531076",4,0,"LC","LC","X"
"11","Picaflor chico","Green-backed Firecrown","Sephanoides sephaniodes",TRUE,4,"S223905981",7,2018,"S49149731",2,0,"","LC","X"
"12","Pidén común","Plumbeous Rail","Pardirallus sanguinolentus",FALSE,0,NA,1,2023,"S125038689",1,0,"","LC","X"
"13","Tagua común","Red-gartered Coot","Fulica armillata",FALSE,0,NA,3,2022,"S101025656",3,0,"","LC","X"
"14","Queltehue común","Southern Lapwing","Vanellus chilensis",TRUE,18,"S218289707",53,2021,"S91701519",7,0,"","LC","X"
"15","Zarapito común","Whimbrel","Numenius phaeopus",TRUE,32,"S218096805",32,2025,"S218096805",13,0,"LC","LC","NR"
